old_act,old_section,new_act,new_section,mapping_type,notes
IPC-1860,10,BNS-2023,2(35),split,"10 splits across multiple BNS sub-clauses; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,11,BNS-2023,2(26),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,12,BNS-2023,2(27),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,14,BNS-2023,,no_equivalent,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,17,BNS-2023,2(12),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,18,BNS-2023,,no_equivalent,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,19,BNS-2023,2(16),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,20,BNS-2023,2(5),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,21,BNS-2023,2(28),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,22,BNS-2023,2(21),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,23,BNS-2023,2(36),split,"23 splits across multiple BNS sub-clauses; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,23,BNS-2023,2(37),split,"23 splits across multiple BNS sub-clauses; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,23,BNS-2023,2(38),split,"23 splits across multiple BNS sub-clauses; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,24,BNS-2023,2(7),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,25,BNS-2023,2(9),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,26,BNS-2023,2(29),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,27,BNS-2023,3(3),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,28,BNS-2023,2(4),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,29,BNS-2023,2(8),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,29A,BNS-2023,,no_equivalent,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,30,BNS-2023,2(31),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,31,BNS-2023,2(34),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,32,BNS-2023,3(4),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,33,BNS-2023,2(1),split,"33 splits across multiple BNS sub-clauses; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,33,BNS-2023,2(25),split,"33 splits across multiple BNS sub-clauses; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,34,BNS-2023,3(5),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,35,BNS-2023,3(6),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,36,BNS-2023,3(7),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,37,BNS-2023,3(8),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,38,BNS-2023,3(9),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,39,BNS-2023,2(33),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,40,BNS-2023,2(24),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,41,BNS-2023,2(30),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,42,BNS-2023,2(18),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,43,BNS-2023,2(15),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,44,BNS-2023,2(14),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,45,BNS-2023,2(17),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,46,BNS-2023,2(6),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,47,BNS-2023,2(2),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,48,BNS-2023,2(32),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,49,BNS-2023,2(20),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,50,BNS-2023,,no_equivalent,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,51,BNS-2023,2(23),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,52,BNS-2023,2(11),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,52A,BNS-2023,2(13),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,53,BNS-2023,4,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,53A,BNS-2023,,no_equivalent,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,54,BNS-2023,5,merged,"54-55 merged into single new section; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,55,BNS-2023,5,merged,"54-55 merged into single new section; Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,57,BNS-2023,6,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,60,BNS-2023,7,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,63,BNS-2023,8(1),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,64,BNS-2023,8(2),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,65,BNS-2023,8(3),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,66,BNS-2023,8(4),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,67,BNS-2023,8(5),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,68,BNS-2023,8(6)(a),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,69,BNS-2023,8(6)(b),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,70,BNS-2023,8(7),renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,71,BNS-2023,9,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,72,BNS-2023,10,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,73,BNS-2023,11,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,74,BNS-2023,12,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,75,BNS-2023,13,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,76,BNS-2023,14,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,77,BNS-2023,15,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,78,BNS-2023,16,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,79,BNS-2023,17,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,80,BNS-2023,18,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,81,BNS-2023,19,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,82,BNS-2023,20,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,83,BNS-2023,21,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,84,BNS-2023,22,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,85,BNS-2023,23,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,86,BNS-2023,24,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,87,BNS-2023,25,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,88,BNS-2023,26,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,89,BNS-2023,27,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,90,BNS-2023,28,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,91,BNS-2023,29,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
IPC-1860,92,BNS-2023,30,renumbered,"Third-party transcription (advocategandhi.com IPC-to-BNS table) via automated fetch, 2026-07-20 - NOT the primary MHA/BPRD gazette PDF (bprd.nic.in was unreachable from this environment). Spot-check against the official BPRD 'Comparison Summary BNS to IPC' PDF before trusting for citation verification."
